Fips,Location,Drug Type,TimeFrame,Data Type,Data,MOE
39,Ohio,All opioids,2013,"Rate per 100,000",14.60253,0.722797851
39,Ohio,All opioids,2014,"Rate per 100,000",19.06504,0.831622888
39,Ohio,All opioids,2015,"Rate per 100,000",24.6584,0.950305753
39,Ohio,All opioids,2016,"Rate per 100,000",32.94451,1.098620882
39,Ohio,All opioids,2017,"Rate per 100,000",39.22012,1.200570056
39,Ohio,All opioids,2018,"Rate per 100,000",29.61342,1.04471725
39,Ohio,All opioids,2019,"Rate per 100,000",31.46414,1.075792456
39,Ohio,All opioids,2020,"Rate per 100,000",40.13497,1.215390702
39,Ohio,All opioids,2021,"Rate per 100,000",40.11089,1.20551828
39,Ohio,All opioids,2022,"Rate per 100,000",37.9681,1.17105553
39,Ohio,All opioids,2023,"Rate per 100,000",33.99572,1.105849105
50,Vermont,All opioids,1999,"Rate per 100,000",N/A,N/A
50,Vermont,All opioids,2000,"Rate per 100,000",3.55064,1.489296323
50,Vermont,All opioids,2001,"Rate per 100,000",5.02453,1.778288649
50,Vermont,All opioids,2002,"Rate per 100,000",5.79163,1.901641384
50,Vermont,All opioids,2003,"Rate per 100,000",7.22186,2.130522854
50,Vermont,All opioids,2004,"Rate per 100,000",6.08417,1.986791597
50,Vermont,All opioids,2005,"Rate per 100,000",6.11665,2.003197116
50,Vermont,All opioids,2006,"Rate per 100,000",9.38295,2.474598031
50,Vermont,All opioids,2007,"Rate per 100,000",8.75785,2.42054328
50,Vermont,All opioids,2008,"Rate per 100,000",8.585,2.289530366
50,Vermont,All opioids,2009,"Rate per 100,000",6.04248,1.94671403
50,Vermont,All opioids,2010,"Rate per 100,000",6.83377,2.114489056
50,Vermont,All opioids,2011,"Rate per 100,000",9.06641,2.476093662
50,Vermont,All opioids,2012,"Rate per 100,000",8.64632,2.372665013
50,Vermont,All opioids,2013,"Rate per 100,000",11.58693,2.816891769
50,Vermont,All opioids,2014,"Rate per 100,000",10.97123,2.770752559
50,Vermont,All opioids,2015,"Rate per 100,000",13.40243,3.038546622
50,Vermont,All opioids,2016,"Rate per 100,000",18.42481,3.691248016
50,Vermont,All opioids,2017,"Rate per 100,000",19.99713,3.790644639
50,Vermont,All opioids,2018,"Rate per 100,000",22.77391,4.062772188
50,Vermont,All opioids,2019,"Rate per 100,000",20.71897,3.896251803
50,Vermont,All opioids,2020,"Rate per 100,000",27.42591,4.40024203
50,Vermont,All opioids,2021,"Rate per 100,000",37.40703,5.084390455
50,Vermont,All opioids,2022,"Rate per 100,000",40.94284,5.313873024
50,Vermont,All opioids,2023,"Rate per 100,000",38.17928,5.067304218
54,West Virginia,All opioids,1999,"Rate per 100,000",1.82342,0.623514671
54,West Virginia,All opioids,2000,"Rate per 100,000",2.81527,0.782920624
54,West Virginia,All opioids,2001,"Rate per 100,000",7.86514,1.319511461
54,West Virginia,All opioids,2002,"Rate per 100,000",10.07068,1.488746702
54,West Virginia,All opioids,2003,"Rate per 100,000",11.238,1.596433675
54,West Virginia,All opioids,2004,"Rate per 100,000",14.23911,1.778638062
54,West Virginia,All opioids,2005,"Rate per 100,000",8.18237,1.365552331
54,West Virginia,All opioids,2006,"Rate per 100,000",16.14658,1.895723736
54,West Virginia,All opioids,2007,"Rate per 100,000",18.97951,2.066647959
54,West Virginia,All opioids,2008,"Rate per 100,000",21.04211,2.173553744
54,West Virginia,All opioids,2009,"Rate per 100,000",10.28868,1.511189253
54,West Virginia,All opioids,2010,"Rate per 100,000",25.64464,2.410813651
54,West Virginia,All opioids,2011,"Rate per 100,000",31.5044,2.683803639
54,West Virginia,All opioids,2012,"Rate per 100,000",27.08821,2.505462304
54,West Virginia,All opioids,2013,"Rate per 100,000",27.93704,2.527089317
54,West Virginia,All opioids,2014,"Rate per 100,000",31.6091,2.693622383
54,West Virginia,All opioids,2015,"Rate per 100,000",36.02344,2.888248158
54,West Virginia,All opioids,2016,"Rate per 100,000",43.41488,3.216454533
54,West Virginia,All opioids,2017,"Rate per 100,000",49.60242,3.456996381
54,West Virginia,All opioids,2018,"Rate per 100,000",42.36856,3.210929408
54,West Virginia,All opioids,2019,"Rate per 100,000",41.39101,3.202801635
54,West Virginia,All opioids,2020,"Rate per 100,000",69.96518,4.187050321
54,West Virginia,All opioids,2021,"Rate per 100,000",77.24945,4.387966442
54,West Virginia,All opioids,2022,"Rate per 100,000",70.5388,4.202788251
54,West Virginia,All opioids,2023,"Rate per 100,000",71.63828,4.202847512
1,Alabama,All opioids,1999,"Rate per 100,000",0.8346,0.269417839
1,Alabama,All opioids,2000,"Rate per 100,000",0.98993,0.296226047
1,Alabama,All opioids,2001,"Rate per 100,000",1.29709,0.337223122
1,Alabama,All opioids,2002,"Rate per 100,000",1.61198,0.376022548
1,Alabama,All opioids,2003,"Rate per 100,000",1.10769,0.311587795
1,Alabama,All opioids,2004,"Rate per 100,000",1.847,0.399125852
1,Alabama,All opioids,2005,"Rate per 100,000",1.75091,0.38509304
1,Alabama,All opioids,2006,"Rate per 100,000",2.70266,0.478980823
1,Alabama,All opioids,2007,"Rate per 100,000",3.59468,0.552587937
1,Alabama,All opioids,2008,"Rate per 100,000",4.11182,0.597388796
1,Alabama,All opioids,2009,"Rate per 100,000",4.4807,0.618292586
1,Alabama,All opioids,2010,"Rate per 100,000",4.05494,0.586743487
1,Alabama,All opioids,2011,"Rate per 100,000",3.76866,0.563552007
1,Alabama,All opioids,2012,"Rate per 100,000",3.6097,0.558909839
1,Alabama,All opioids,2013,"Rate per 100,000",3.51166,0.542670273
1,Alabama,All opioids,2014,"Rate per 100,000",5.63612,0.684783922
1,Alabama,All opioids,2015,"Rate per 100,000",6.13273,0.727460768
1,Alabama,All opioids,2016,"Rate per 100,000",7.48004,0.80730273
1,Alabama,All opioids,2017,"Rate per 100,000",9.04533,0.881471517
1,Alabama,All opioids,2018,"Rate per 100,000",8.27228,0.850469819
1,Alabama,All opioids,2019,"Rate per 100,000",8.91095,0.876662808
1,Alabama,All opioids,2020,"Rate per 100,000",13.32606,1.080011603
1,Alabama,All opioids,2021,"Rate per 100,000",21.1965,1.351826855
1,Alabama,All opioids,2022,"Rate per 100,000",23.35099,1.409382788
1,Alabama,All opioids,2023,"Rate per 100,000",25.73728,1.482137361
2,Alaska,All opioids,1999,"Rate per 100,000",3.99255,1.514531763
2,Alaska,All opioids,2000,"Rate per 100,000",4.00335,1.516884499
2,Alaska,All opioids,2001,"Rate per 100,000",N/A,N/A
2,Alaska,All opioids,2002,"Rate per 100,000",N/A,N/A
2,Alaska,All opioids,2003,"Rate per 100,000",N/A,N/A
2,Alaska,All opioids,2004,"Rate per 100,000",N/A,N/A
2,Alaska,All opioids,2005,"Rate per 100,000",N/A,N/A
2,Alaska,All opioids,2006,"Rate per 100,000",4.10747,1.519218066
2,Alaska,All opioids,2007,"Rate per 100,000",N/A,N/A
2,Alaska,All opioids,2008,"Rate per 100,000",12.49353,2.667756739
2,Alaska,All opioids,2009,"Rate per 100,000",12.4654,2.641070147
2,Alaska,All opioids,2010,"Rate per 100,000",8.74332,2.232748479
2,Alaska,All opioids,2011,"Rate per 100,000",8.7183,2.142242744
2,Alaska,All opioids,2012,"Rate per 100,000",10.8243,2.430360459
2,Alaska,All opioids,2013,"Rate per 100,000",9.24204,2.256632006
2,Alaska,All opioids,2014,"Rate per 100,000",10.55206,2.445593254
2,Alaska,All opioids,2015,"Rate per 100,000",11.03425,2.382162346
2,Alaska,All opioids,2016,"Rate per 100,000",12.50671,2.586908826
2,Alaska,All opioids,2017,"Rate per 100,000",13.87398,2.761216366
2,Alaska,All opioids,2018,"Rate per 100,000",8.76727,2.138924825
2,Alaska,All opioids,2019,"Rate per 100,000",10.86494,2.391489249
2,Alaska,All opioids,2020,"Rate per 100,000",15.24942,2.880345395
2,Alaska,All opioids,2021,"Rate per 100,000",27.58746,3.87209759
2,Alaska,All opioids,2022,"Rate per 100,000",25.07515,3.643690572
2,Alaska,All opioids,2023,"Rate per 100,000",40.07675,4.674091852
4,Arizona,All opioids,1999,"Rate per 100,000",4.73266,0.615884071
4,Arizona,All opioids,2000,"Rate per 100,000",4.83712,0.619768791
4,Arizona,All opioids,2001,"Rate per 100,000",5.24489,0.633769822
4,Arizona,All opioids,2002,"Rate per 100,000",6.17917,0.68186136
4,Arizona,All opioids,2003,"Rate per 100,000",6.44398,0.687087551
4,Arizona,All opioids,2004,"Rate per 100,000",6.33791,0.673341416
4,Arizona,All opioids,2005,"Rate per 100,000",6.64267,0.676317524
4,Arizona,All opioids,2006,"Rate per 100,000",7.80235,0.720009054
4,Arizona,All opioids,2007,"Rate per 100,000",7.7433,0.711383703
4,Arizona,All opioids,2008,"Rate per 100,000",8.10158,0.72013715
4,Arizona,All opioids,2009,"Rate per 100,000",9.76202,0.784212111
4,Arizona,All opioids,2010,"Rate per 100,000",9.92618,0.785898074
4,Arizona,All opioids,2011,"Rate per 100,000",8.78158,0.735658903
4,Arizona,All opioids,2012,"Rate per 100,000",8.2305,0.7134495
4,Arizona,All opioids,2013,"Rate per 100,000",8.17915,0.708329251
4,Arizona,All opioids,2014,"Rate per 100,000",8.78539,0.72261116
4,Arizona,All opioids,2015,"Rate per 100,000",10.17299,0.783510104
4,Arizona,All opioids,2016,"Rate per 100,000",11.35892,0.818175714
4,Arizona,All opioids,2017,"Rate per 100,000",13.47937,0.885456246
4,Arizona,All opioids,2018,"Rate per 100,000",15.92448,0.956700065
4,Arizona,All opioids,2019,"Rate per 100,000",18.41534,1.024174372
4,Arizona,All opioids,2020,"Rate per 100,000",26.77188,1.228288572
4,Arizona,All opioids,2021,"Rate per 100,000",28.81072,1.284000831
4,Arizona,All opioids,2022,"Rate per 100,000",27.44343,1.247172671
4,Arizona,All opioids,2023,"Rate per 100,000",27.28226,1.235680107
5,Arkansas,All opioids,1999,"Rate per 100,000",1.11129,0.412176348
5,Arkansas,All opioids,2000,"Rate per 100,000",0.77682,0.34100228
5,Arkansas,All opioids,2001,"Rate per 100,000",1.14869,0.412141915
5,Arkansas,All opioids,2002,"Rate per 100,000",3.53162,0.731461585
5,Arkansas,All opioids,2003,"Rate per 100,000",3.40895,0.71078919
5,Arkansas,All opioids,2004,"Rate per 100,000",4.80565,0.840044528
5,Arkansas,All opioids,2005,"Rate per 100,000",4.6226,0.821141726
5,Arkansas,All opioids,2006,"Rate per 100,000",5.1167,0.853786668
5,Arkansas,All opioids,2007,"Rate per 100,000",5.35728,0.86974606
5,Arkansas,All opioids,2008,"Rate per 100,000",7.24163,1.019526203
5,Arkansas,All opioids,2009,"Rate per 100,000",7.22855,1.009421282
5,Arkansas,All opioids,2010,"Rate per 100,000",6.79277,0.981034727
5,Arkansas,All opioids,2011,"Rate per 100,000",6.16005,0.93955764
5,Arkansas,All opioids,2012,"Rate per 100,000",5.97009,0.914796684
5,Arkansas,All opioids,2013,"Rate per 100,000",5.60622,0.878227802
5,Arkansas,All opioids,2014,"Rate per 100,000",6.25807,0.947631347
5,Arkansas,All opioids,2015,"Rate per 100,000",7.2348,1.014376758
5,Arkansas,All opioids,2016,"Rate per 100,000",5.92351,0.912421354
5,Arkansas,All opioids,2017,"Rate per 100,000",6.48878,0.945776299
5,Arkansas,All opioids,2018,"Rate per 100,000",7.39492,1.023550931
5,Arkansas,All opioids,2019,"Rate per 100,000",6.99426,0.992701235
5,Arkansas,All opioids,2020,"Rate per 100,000",9.94251,1.180888608
5,Arkansas,All opioids,2021,"Rate per 100,000",13.7373,1.391710509
5,Arkansas,All opioids,2022,"Rate per 100,000",13.78278,1.395511668
5,Arkansas,All opioids,2023,"Rate per 100,000",10.93027,1.23002523
19,Iowa,All opioids,1999,"Rate per 100,000",N/A,N/A
19,Iowa,All opioids,2000,"Rate per 100,000",N/A,N/A
19,Iowa,All opioids,2001,"Rate per 100,000",0.92506,0.349963171
19,Iowa,All opioids,2002,"Rate per 100,000",1.27667,0.413340819
19,Iowa,All opioids,2003,"Rate per 100,000",1.37892,0.440357551
19,Iowa,All opioids,2004,"Rate per 100,000",2.14628,0.542013422
19,Iowa,All opioids,2005,"Rate per 100,000",2.38662,0.57563095
19,Iowa,All opioids,2006,"Rate per 100,000",3.26962,0.67181968
19,Iowa,All opioids,2007,"Rate per 100,000",3.62932,0.695503491
19,Iowa,All opioids,2008,"Rate per 100,000",4.4165,0.780461028
19,Iowa,All opioids,2009,"Rate per 100,000",4.93805,0.829277788
19,Iowa,All opioids,2010,"Rate per 100,000",5.1266,0.842938858
19,Iowa,All opioids,2011,"Rate per 100,000",5.89256,0.899454806
19,Iowa,All opioids,2012,"Rate per 100,000",5.87682,0.901543221
19,Iowa,All opioids,2013,"Rate per 100,000",6.09162,0.915437369
19,Iowa,All opioids,2014,"Rate per 100,000",5.29425,0.846097428
19,Iowa,All opioids,2015,"Rate per 100,000",5.78924,0.892110192
19,Iowa,All opioids,2016,"Rate per 100,000",6.23208,0.921844889
19,Iowa,All opioids,2017,"Rate per 100,000",6.92006,0.9662315
19,Iowa,All opioids,2018,"Rate per 100,000",4.83589,0.808913096
19,Iowa,All opioids,2019,"Rate per 100,000",5.36521,0.849404961
19,Iowa,All opioids,2020,"Rate per 100,000",7.63896,1.017428501
19,Iowa,All opioids,2021,"Rate per 100,000",8.60777,1.067524508
19,Iowa,All opioids,2022,"Rate per 100,000",7.92216,1.028320525
19,Iowa,All opioids,2023,"Rate per 100,000",8.41876,1.058142856
39,Ohio,All opioids,1999,"Rate per 100,000",1.46702,0.224839703
39,Ohio,All opioids,2000,"Rate per 100,000",2.21912,0.275202336
39,Ohio,All opioids,2001,"Rate per 100,000",2.96991,0.317877359
39,Ohio,All opioids,2002,"Rate per 100,000",3.73398,0.357505842
39,Ohio,All opioids,2003,"Rate per 100,000",3.20668,0.330028416
39,Ohio,All opioids,2004,"Rate per 100,000",4.50373,0.390688292
39,Ohio,All opioids,2005,"Rate per 100,000",4.9298,0.410661338
39,Ohio,All opioids,2006,"Rate per 100,000",5.62256,0.440968779
39,Ohio,All opioids,2007,"Rate per 100,000",6.17057,0.459916691
39,Ohio,All opioids,2008,"Rate per 100,000",7.20497,0.500787577
39,Ohio,All opioids,2009,"Rate per 100,000",5.90443,0.455456401
39,Ohio,All opioids,2010,"Rate per 100,000",9.97469,0.592587931
39,Ohio,All opioids,2011,"Rate per 100,000",11.23318,0.628549915
39,Ohio,All opioids,2012,"Rate per 100,000",12.25899,0.66455821
39,Ohio,All opioids,2013,"Rate per 100,000",14.60253,0.722797851
39,Ohio,All opioids,2014,"Rate per 100,000",19.06504,0.831622888
39,Ohio,All opioids,2015,"Rate per 100,000",24.6584,0.950305753
39,Ohio,All opioids,2016,"Rate per 100,000",32.94451,1.098620882
39,Ohio,All opioids,2017,"Rate per 100,000",39.22012,1.200570056
39,Ohio,All opioids,2018,"Rate per 100,000",29.61342,1.04471725
39,Ohio,All opioids,2019,"Rate per 100,000",31.46414,1.075792456
39,Ohio,All opioids,2020,"Rate per 100,000",40.13497,1.215390702
39,Ohio,All opioids,2021,"Rate per 100,000",40.11089,1.20551828
39,Ohio,All opioids,2022,"Rate per 100,000",37.9681,1.17105553
39,Ohio,All opioids,2023,"Rate per 100,000",33.99572,1.105849105
50,Vermont,All opioids,1999,"Rate per 100,000",N/A,N/A
50,Vermont,All opioids,2000,"Rate per 100,000",3.55064,1.489296323
50,Vermont,All opioids,2001,"Rate per 100,000",5.02453,1.778288649
50,Vermont,All opioids,2002,"Rate per 100,000",5.79163,1.901641384
50,Vermont,All opioids,2003,"Rate per 100,000",7.22186,2.130522854
50,Vermont,All opioids,2004,"Rate per 100,000",6.08417,1.986791597
50,Vermont,All opioids,2005,"Rate per 100,000",6.11665,2.003197116
50,Vermont,All opioids,2006,"Rate per 100,000",9.38295,2.474598031
50,Vermont,All opioids,2007,"Rate per 100,000",8.75785,2.42054328
50,Vermont,All opioids,2008,"Rate per 100,000",8.585,2.289530366
50,Vermont,All opioids,2009,"Rate per 100,000",6.04248,1.94671403
50,Vermont,All opioids,2010,"Rate per 100,000",6.83377,2.114489056
50,Vermont,All opioids,2011,"Rate per 100,000",9.06641,2.476093662
50,Vermont,All opioids,2012,"Rate per 100,000",8.64632,2.372665013
50,Vermont,All opioids,2013,"Rate per 100,000",11.58693,2.816891769
50,Vermont,All opioids,2014,"Rate per 100,000",10.97123,2.770752559
50,Vermont,All opioids,2015,"Rate per 100,000",13.40243,3.038546622
50,Vermont,All opioids,2016,"Rate per 100,000",18.42481,3.691248016
50,Vermont,All opioids,2017,"Rate per 100,000",19.99713,3.790644639
50,Vermont,All opioids,2018,"Rate per 100,000",22.77391,4.062772188
50,Vermont,All opioids,2019,"Rate per 100,000",20.71897,3.896251803
50,Vermont,All opioids,2020,"Rate per 100,000",27.42591,4.40024203
50,Vermont,All opioids,2021,"Rate per 100,000",37.40703,5.084390455
50,Vermont,All opioids,2022,"Rate per 100,000",40.94284,5.313873024
50,Vermont,All opioids,2023,"Rate per 100,000",38.17928,5.067304218
6,California,All opioids,1999,"Rate per 100,000",4.45052,0.228191842
6,California,All opioids,2000,"Rate per 100,000",3.00885,0.186294435
6,California,All opioids,2001,"Rate per 100,000",1.62557,0.135999118
6,California,All opioids,2002,"Rate per 100,000",4.21703,0.217261827
6,California,All opioids,2003,"Rate per 100,000",3.98987,0.209669767
6,California,All opioids,2004,"Rate per 100,000",3.97865,0.207975085
6,California,All opioids,2005,"Rate per 100,000",3.81984,0.202757541
6,California,All opioids,2006,"Rate per 100,000",4.14905,0.209923468
6,California,All opioids,2007,"Rate per 100,000",4.49438,0.217295812
6,California,All opioids,2008,"Rate per 100,000",4.81746,0.2237398
6,California,All opioids,2009,"Rate per 100,000",5.22915,0.231406604
6,California,All opioids,2010,"Rate per 100,000",4.99996,0.224822649
6,California,All opioids,2011,"Rate per 100,000",4.95766,0.222664107
6,California,All opioids,2012,"Rate per 100,000",4.35442,0.20794081
6,California,All opioids,2013,"Rate per 100,000",4.86502,0.218562985
6,California,All opioids,2014,"Rate per 100,000",4.95675,0.218744236
6,California,All opioids,2015,"Rate per 100,000",4.91078,0.217358267
6,California,All opioids,2016,"Rate per 100,000",4.86654,0.216042864
6,California,All opioids,2017,"Rate per 100,000",5.27783,0.224342413
6,California,All opioids,2018,"Rate per 100,000",5.82756,0.236402874
6,California,All opioids,2019,"Rate per 100,000",7.91548,0.277135952
6,California,All opioids,2020,"Rate per 100,000",13.69806,0.36717286
6,California,All opioids,2021,"Rate per 100,000",17.80009,0.417699426
6,California,All opioids,2022,"Rate per 100,000",18.40943,0.426924066
6,California,All opioids,2023,"Rate per 100,000",19.70036,0.441036258
8,Colorado,All opioids,1999,"Rate per 100,000",3.71072,0.570442567
8,Colorado,All opioids,2000,"Rate per 100,000",3.88028,0.578670594
8,Colorado,All opioids,2001,"Rate per 100,000",4.1779,0.593419292
8,Colorado,All opioids,2002,"Rate per 100,000",4.22615,0.593784936
8,Colorado,All opioids,2003,"Rate per 100,000",4.54372,0.612256552
8,Colorado,All opioids,2004,"Rate per 100,000",4.75519,0.625295784
8,Colorado,All opioids,2005,"Rate per 100,000",6.15868,0.706633898
8,Colorado,All opioids,2006,"Rate per 100,000",6.66058,0.726786032
8,Colorado,All opioids,2007,"Rate per 100,000",7.04905,0.740506524
8,Colorado,All opioids,2008,"Rate per 100,000",6.99088,0.733093975
8,Colorado,All opioids,2009,"Rate per 100,000",7.66582,0.760322071
8,Colorado,All opioids,2010,"Rate per 100,000",5.87695,0.666796145
8,Colorado,All opioids,2011,"Rate per 100,000",8.04706,0.779807358
8,Colorado,All opioids,2012,"Rate per 100,000",7.67899,0.754763756
8,Colorado,All opioids,2013,"Rate per 100,000",8.02733,0.76562392
8,Colorado,All opioids,2014,"Rate per 100,000",9.36766,0.81904391
8,Colorado,All opioids,2015,"Rate per 100,000",8.72337,0.78017018
8,Colorado,All opioids,2016,"Rate per 100,000",9.48041,0.815171677
8,Colorado,All opioids,2017,"Rate per 100,000",10.00775,0.829552227
8,Colorado,All opioids,2018,"Rate per 100,000",9.45314,0.793318442
8,Colorado,All opioids,2019,"Rate per 100,000",10.57499,0.837403748
8,Colorado,All opioids,2020,"Rate per 100,000",16.43506,1.045419747
8,Colorado,All opioids,2021,"Rate per 100,000",21.66093,1.197628026
8,Colorado,All opioids,2022,"Rate per 100,000",19.4325,1.124078451
8,Colorado,All opioids,2023,"Rate per 100,000",21.5582,1.184532458
9,Connecticut,All opioids,1999,"Rate per 100,000",4.41684,0.706235801
9,Connecticut,All opioids,2000,"Rate per 100,000",4.82011,0.737201088
9,Connecticut,All opioids,2001,"Rate per 100,000",4.3229,0.695717233
9,Connecticut,All opioids,2002,"Rate per 100,000",5.03139,0.754052833
9,Connecticut,All opioids,2003,"Rate per 100,000",4.86247,0.739821694
9,Connecticut,All opioids,2004,"Rate per 100,000",5.66574,0.802429143
9,Connecticut,All opioids,2005,"Rate per 100,000",4.72108,0.729044693
9,Connecticut,All opioids,2006,"Rate per 100,000",6.40245,0.845235453
9,Connecticut,All opioids,2007,"Rate per 100,000",7.04855,0.891459636
9,Connecticut,All opioids,2008,"Rate per 100,000",6.52617,0.852569438
9,Connecticut,All opioids,2009,"Rate per 100,000",6.17419,0.834664971
9,Connecticut,All opioids,2010,"Rate per 100,000",6.27336,0.835859862
9,Connecticut,All opioids,2011,"Rate per 100,000",5.95419,0.820747562
9,Connecticut,All opioids,2012,"Rate per 100,000",5.72626,0.807933636
9,Connecticut,All opioids,2013,"Rate per 100,000",12.29207,1.175433282
9,Connecticut,All opioids,2014,"Rate per 100,000",15.16295,1.325558984
9,Connecticut,All opioids,2015,"Rate per 100,000",19.20303,1.477015867
9,Connecticut,All opioids,2016,"Rate per 100,000",24.47231,1.687043315
9,Connecticut,All opioids,2017,"Rate per 100,000",27.72899,1.807702579
9,Connecticut,All opioids,2018,"Rate per 100,000",27.53925,1.804242118
9,Connecticut,All opioids,2019,"Rate per 100,000",31.72804,1.934773281
9,Connecticut,All opioids,2020,"Rate per 100,000",35.94195,2.054085025
9,Connecticut,All opioids,2021,"Rate per 100,000",38.33637,2.08299283
9,Connecticut,All opioids,2022,"Rate per 100,000",36.77175,2.029526704
9,Connecticut,All opioids,2023,"Rate per 100,000",31.91963,1.882282215
10,Delaware,All opioids,1999,"Rate per 100,000",4.11867,1.427791392
10,Delaware,All opioids,2000,"Rate per 100,000",3.69407,1.344723805
10,Delaware,All opioids,2001,"Rate per 100,000",4.54723,1.485765642
10,Delaware,All opioids,2002,"Rate per 100,000",6.00101,1.698909774
10,Delaware,All opioids,2003,"Rate per 100,000",4.53895,1.46469449
10,Delaware,All opioids,2004,"Rate per 100,000",4.23362,1.404879809
10,Delaware,All opioids,2005,"Rate per 100,000",3.51199,1.28120998
10,Delaware,All opioids,2006,"Rate per 100,000",4.49431,1.452066227
10,Delaware,All opioids,2007,"Rate per 100,000",5.14877,1.520347565
10,Delaware,All opioids,2008,"Rate per 100,000",7.65726,1.87701497
10,Delaware,All opioids,2009,"Rate per 100,000",9.31434,2.0538703
10,Delaware,All opioids,2010,"Rate per 100,000",12.02135,2.350961143
10,Delaware,All opioids,2011,"Rate per 100,000",12.58392,2.352649389
10,Delaware,All opioids,2012,"Rate per 100,000",9.15488,2.017268924
